證券代號,投標開始日,近一月營收,近一月營收年增率,近一月營收月增率,營收增長規律性_R2,營收風險波動率_cv,近五月成長次數比率
6026,2016-01-07 00:00:00,31724.0,-0.661,-0.709,0.0,1.838,0.5
6510,2016-03-04 00:00:00,155920.0,0.568,-0.072,0.385,0.035,0.25
