證券代號,投標開始日,前一日平均成交價,前十日內平均成交價,前十日內漲幅,前一日成交金額,前十日內平均成交金額,前一日最高成交價,前一日最低成交價,前一日成交筆數,前一日成交股數,前十日內平均成交筆數,前十日內平均成交股數
6026,2016-01-07 00:00:00,10.09,10.314,-0.019,926280,1085682.0,10.2,9.99,24,91786,34.0,104929.0
6510,2016-03-04 00:00:00,483.31,490.617,-0.008,18999076,56827055.0,489.99,479.0,44,39310,114.0,115707.0
2739,2016-04-28 00:00:00,58.71,57.934,0.085,5900312,7244824.0,59.99,58.0,61,100491,64.0,121127.0
