證券代號,投標開始日,外資平均增減,投信平均增減,自營商平均增減,融資張數增減,融券張數增減,融資金額增減,道瓊工業_10日漲幅(%),標普500_10日漲幅(%),那斯達克_10日漲幅(%),費城半導體_10日漲幅(%),大盤_10日漲幅(%),大盤_平均成交量,櫃買_10日漲幅(%),櫃買_平均成交量
6026,2016-01-07,-1017280532.2,-190764679.2,-656575710.6,-7586.9,-1424.3,-104913000.0,0.119,0.355,-0.406,0.392,-3.912,1525180.0,-4.155,308260.0
6510,2016-03-04,4641877881.6,13985167.5,-499363919.5,1406.7,-572.7,183661100.0,2.499,2.674,3.43,5.585,3.573,1995680.0,0.241,376760.0
2739,2016-04-28,4786920342.2,-106193229.9,-147505485.5,-18390.7,4971.0,-223542500.0,1.445,1.264,0.486,-0.66,-1.207,1477040.0,-1.768,347330.0
1240,2018-07-19,-843395549.2,426316257.2,47679500.3,-10929.8,297.5,-167946600.0,3.115,2.63,3.145,1.319,2.174,2208100.0,2.757,507610.0
1268,2017-09-07,1173833977.8,-205615516.6,-31509163.3,31633.6,10638.7,839626400.0,1.308,1.984,3.576,5.15,0.562,2798150.0,2.899,676930.0
1294,2024-09-05,-9100702337.7,3333809693.3,-3827330134.0,66705.5,-778.9,1807050800.0,1.63,0.716,-0.913,-2.046,-4.768,3722810.0,-2.854,965760.0
